p,corr_YZ,corr_YU,perturb_level_YU,perturb_level_YZ,train_n,test_n,van_w_f,van_w_g,strat_w_f,strat_w_g,van_train_loss,van_test_loss,van_test_acc,strat_train_loss,strat_test_loss,strat_test_acc
0.0,0.7021528864195196,0.8011894658640305,3,3,2500,500,"[0.0, 0.0, 0.0, 0.0]","[0.566408386772456, 0.34890774998124474, -0.21053679571511663]","[0.0, 0.0, 0.0, 0.0]","[0.5694201851455664, 0.3498130497813948, -0.21077574646842487]",0.5811284372003221,0.5999539418984341,0.658,0.5811274015304517,0.600046307357392,0.658
0.25,-0.7267645810228549,-0.6408164867888326,-3,-3,2500,500,"[0.32574947532062326, 0.3509205875580737, -0.1831504325850208, -1.9774914065318052]","[-0.021049571750556603, 0.1807688990402314, 0.25380597733287885]","[-1.2290648011587935, 1.6373211543822692, 1.4766829982132652, -0.3768799115307113]","[-2.027782538445405, -1.013348429445435, -0.3340861323252815]",0.5845406316316295,0.5780618334148954,0.694,1.9906237691554598,1.8537621972901661,0.412
0.25,-0.7238613995894232,-0.4578309934766416,-2,-3,2500,500,"[0.586343607580865, 0.2833032857863554, -0.5122755857044591, -2.222119895314701]","[0.05599265939579195, 0.17733133880193427, 0.28381979922359807]","[-0.7457296528260087, 1.783187241278431, 2.325384022950801, -0.5067733881016472]","[-2.1744256952350547, -1.5724161583848644, -0.6613044123850806]",0.575465440012515,0.5830958182636539,0.682,2.5340909827894254,2.269871631324433,0.408
0.25,-0.7195066274392754,-0.17893300748456803,-1,-3,2500,500,"[0.5020375371617327, 0.29025350154866314, -0.15016064807571183, -1.920827757315132]","[0.2543661348262735, 0.11619525566200659, 0.2258976627416212]","[-0.2543123673493368, 0.4718010034128659, 2.7859856560534024, -0.6918931238512832]","[-1.9829546715883022, -1.4362197606102889, -1.1826310524572432]",0.5813106851846441,0.5911658704952936,0.638,2.4302456374085057,2.2241263052255027,0.438
0.25,-0.7129744692140539,0.2498071878970114,0,-3,2500,500,"[0.7822002432709212, 0.23292660701307852, -0.308613336804806, -1.9595984505559647]","[0.5438572349915121, 0.09263991465635132, 0.19602465240573583]","[0.998308729407303, -0.15309361085183223, 3.211819101076186, -0.9733152216500276]","[-1.1829662768704687, -0.416173837721826, -2.3794965061994886]",0.5578055320163982,0.5892844512260657,0.686,2.4867249518800265,2.453921742627612,0.468
0.25,-0.7093176516332385,0.4955311352458459,1,-3,2500,500,"[0.9062909696996521, 0.3035310868595793, -0.330499171573812, -1.9674991795979289]","[0.7149616644129454, 0.10866128634699428, 0.19081289930874132]","[1.4257505943315019, -0.12670189732752687, 1.7254099047203395, -0.6327053611537246]","[0.14195331779314935, 0.12612996692220288, -1.4502710906417207]",0.5354525981138711,0.5726690696878218,0.712,1.2637432392004015,1.2500573174380474,0.472
0.25,-0.7068797732460281,0.661719132291616,2,-3,2500,500,"[0.9464070725135363, 0.44516867024011414, -0.33143118238042496, -2.0503176185163223]","[0.8180970474823046, 0.07294282740991416, 0.1792645916241289]","[2.247823109745247, -0.042455172839539035, 1.575276289698507, -0.6370057492227659]","[1.003865330177083, 0.6234199437962681, -1.9730208121427544]",0.5181655516571302,0.5709076436993523,0.738,1.3280801207308697,1.2910184465975678,0.432
0.25,-0.7052545209878878,0.773592691760842,3,-3,2500,500,"[0.9510267519329348, 0.30723086626598184, -0.19141055776010032, -1.8070499033402903]","[0.9298669924149887, -0.0014790549752213972, 0.12355625298430004]","[3.10527732204448, -0.09083717912507883, 1.8530004833582199, -0.7890689442435685]","[1.4471095012411854, 0.7287232353076779, -2.703872934142468]",0.5146535407753495,0.5536671623499513,0.742,1.639383830909339,1.5983979779682358,0.418
0.25,-0.5901468715342824,-0.6364527105107198,-3,-2,2500,500,"[0.5507178530413892, 0.3352918543106518, -0.4346466125520022, -1.7466397587725104]","[0.08050074785176838, 0.1873149214425571, 0.13573557781385454]","[-1.3137589044177114, 2.3720244970257274, 2.453516134183291, -0.6047554515812323]","[-2.774922539145005, -1.620221039804746, -1.2276591090206561]",0.6124912668597084,0.6268521620384719,0.652,3.1623350099496643,2.907486919978466,0.398
0.25,-0.5857920993841347,-0.45199979994507383,-2,-2,2500,500,"[0.7134191135606092, 0.19095507825191232, -0.4818909361424945, -1.7581982433453125]","[0.1625108389872909, 0.21826369663449535, 0.14104124620964065]","[-0.8190170157877936, 1.6306689958181746, 1.8899538853454911, -0.42475285943720975]","[-1.8140351792564884, -1.1563069044804566, -0.8910292193242202]",0.608800260274446,0.6486581773112031,0.648,2.2627354044036787,1.9746197092281417,0.4
0.25,-0.579259941158913,-0.17183116091993111,-1,-2,2500,500,"[0.8224637869010432, 0.3175382608275502, -0.48644085857668645, -1.8120552683398488]","[0.32850456049003457, 0.16962981903400115, 0.11437891840551202]","[-0.22331382864265015, 0.21982181108960142, 2.3016879012169373, -0.6675121151512646]","[-1.4603331272495386, -0.2945961880843345, -1.7077909952417096]",0.6019256850429798,0.6493164693737797,0.644,2.0654017981350132,2.0074136920602865,0.494
0.25,-0.5694617038210809,0.25662696845473243,0,-2,2500,500,"[0.8939980556998773, 0.3308697590805464, -0.3796557125766048, -1.6711005882616323]","[0.6012450702370818, 0.11099090919895149, 0.08711941864192271]","[1.279013911824817, -0.30094420066964467, 3.268939706650326, -1.055530133519173]","[-0.6444870172103858, 0.3923488380268405, -2.9694038937307363]",0.5841440619699639,0.6259020260335066,0.666,2.5082292283005097,2.435730470809806,0.5
0.25,-0.5639764774498577,0.5009914079023257,1,-2,2500,500,"[0.9679117937836289, 0.2377319577982576, -0.3071112133302814, -1.4824667159913414]","[0.7622507907431021, 0.1338638145849315, 0.07132855122790385]","[2.1289639701433467, 0.11660821453427872, 2.1023990239038697, -0.7709573300682104]","[0.8155164337655878, 0.7505187526809008, -2.2212265637428903]",0.5681902506364505,0.6111932521744474,0.698,1.529990923392457,1.4920191182484763,0.468
0.25,-0.5603196598690421,0.665773691158521,2,-2,2500,500,"[1.005136551895461, 0.2930242664519393, -0.20680007153336183, -1.3685900309797672]","[0.8882698590852788, 0.14821293061713225, 0.05144924060977836]","[2.754891514223425, 0.2388832607749345, 1.178323863254234, -0.49975733221158647]","[1.7712583189070388, 0.8252381626651775, -2.021762018676403]",0.555009949912404,0.5989265221843088,0.708,1.1531512282577632,1.1734133639304734,0.412
0.25,-0.5578817814818319,0.7764824109563723,3,-2,2500,500,"[1.1031361584811532, 0.5315466725859954, -0.423482162938081, -1.6996223445595169]","[0.9162002944819923, 0.07071293703700565, 0.07176788576973152]","[3.1655701947099137, -0.013388184695372507, 2.2083805272206014, -0.7932120787246393]","[1.9534056600976943, 1.1781301953258272, -2.748597815673718]",0.5377769421448219,0.592896528812732,0.732,1.580234917140147,1.4951538241651063,0.428
0.25,-0.3852203073014235,-0.6299070460935505,-3,-1,2500,500,"[0.4279592058560688, 0.2270287544048833, -0.24448562314814465, -1.1246015196390051]","[0.16741084265490933, 0.2047740838851029, 0.004412301691997081]","[-1.1419492696756275, 1.8720055957228152, 2.6190997945219667, -0.527699980645033]","[-2.395032110662944, -1.2231784013774036, -1.8452226528185292]",0.642614730963635,0.6682299869391246,0.63,2.983342109738659,2.867750769854504,0.424
0.25,-0.3786881490762021,-0.4432530096477222,-2,-1,2500,500,"[0.6011918111759795, 0.18263744871556958, -0.3640799372908901, -1.222957166875424]","[0.2518887262961662, 0.19447124769623464, 0.029582496488866447]","[-0.8208891688477356, 1.1823575595184626, 2.8543666899125903, -0.6801045711639354]","[-1.9414084933202773, -0.7901664574634413, -2.1854586287438083]",0.6369681321948689,0.6748961558174875,0.632,2.7869528220256723,2.615424133983117,0.468
0.25,-0.3688899117383697,-0.16117839107297552,-1,-1,2500,500,"[0.6043631746182693, 0.09707766484576555, -0.22182117400498683, -1.0448660916310313]","[0.3790513421190886, 0.17685309191791693, 0.029126379503460167]","[-0.21441171934914838, -0.07978210585532969, 2.2451065419595135, -0.6248777181101791]","[-0.9480728371524129, 0.13102758389972272, -2.1259650090264404]",0.6364252752808512,0.665514681312682,0.63,1.9763129271820603,1.9394573539473587,0.528
0.25,-0.3541925557316214,0.2668566392913141,0,-1,2500,500,"[0.6809293400643953, 0.15381795038031282, -0.1386908498150812, -0.9221827318697223]","[0.6184575782999505, 0.13879603409657648, -0.0046121825132034965]","[1.091301998761744, -0.879163445111324, 3.0541210114961523, -0.7464075391688132]","[0.17679664137912088, 0.7886322204270491, -2.982388029299834]",0.6196746454923161,0.654667676426225,0.642,2.1428283369628804,2.1693017673568833,0.508
0.25,-0.3459647161747865,0.509181816887045,1,-1,2500,500,"[0.8502966781195932, 0.3471027946774144, -0.2041988439497238, -1.0226355885238354]","[0.7438031437841554, 0.12664879819524477, 0.005525914906700151]","[1.717030873040339, -0.2475819841860154, 1.377061652697832, -0.44042069315205756]","[1.206031090158048, 0.5739985127220846, -1.3953356615751602]",0.5976776777565499,0.6464755944804723,0.672,0.9625688648321975,1.0068964871008796,0.428
0.25,-0.3404794898035631,0.671855529458879,2,-1,2500,500,"[0.913591566540119, 0.43156442136781503, -0.08760662390782462, -0.879420436712663]","[0.8516732780735611, 0.16774189024375602, -0.01528855529098387]","[3.2489317719148865, 0.13954516911627635, 2.216798148427672, -0.8062822340833056]","[1.744340713170246, 1.3455725308657198, -2.8293444031894985]",0.5840641594507748,0.6433619267942103,0.672,1.6440160806045199,1.6006527207869012,0.468
0.25,-0.33682267222274764,0.7808169897496677,3,-1,2500,500,"[0.9870572979200808, 0.4660322411782087, -0.15865037822231, -0.9993170789895693]","[0.9363311503924833, 0.20961641043913992, -0.019477208499549654]","[3.0731123128397737, 0.2767107700745721, 1.1009585263377408, -0.4366692882901697]","[2.446847435341345, 1.1823123881287687, -1.7104504143175734]",0.5695756214574726,0.6381648363544848,0.684,0.9488801804031125,1.0133213455591215,0.522
